id,access,surveyed,ground,shrubs,trees,elevation,ndvi,lat,lon,distance_to_coastline_in_m,m,mu,gp,l,ly,hw,gr,fw,lttf,g,mehw,cm,bm,cd,bw,jh,sv,bepw,csh,oed,bbbf,d,nfm,wf,wl,wsb,rod,reb,bh,bhs,cwb,rc,csb,cy,ma,re,cnb,qa,f,mm,p,pc,rm,wb,yb,avc,ws,bta
117,1.0,1,[],['ma'],"['wb', 'pc', 'f']",186.0664520263672,0.115394502878189,47.0764667,-88.2705844,2.380631932042075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
118,1.0,1,"['m', 'l']",['ma'],"['wb', 'mm', 'f']",184.1610412597656,0.353209108114243,47.0764667,-88.2703149,14.944789516436902,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,2.0,1,"['m', 'l']","['cy', 'ma']","['mm', 'wb', 'f']",184.77951049804688,0.395565927028656,47.0764667,-88.2700454,23.998051906658766,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,1.0,1,"['m', 'l']",[],['mm'],185.962631225586,0.381463050842285,47.0764667,-88.269776,21.291520913059863,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1.0,1,['m'],[],"['mm', 'qa']",185.6046905517578,0.21684305369854,47.0764667,-88.2695065,10.860152327444533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1.0,1,"['m', 'l']",['re'],"['f', 'wb']",183.43316650390625,0.182218104600906,47.0762832,-88.2708539,4.434030015242837,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,2.0,1,"['m', 'l']",[],"['pc', 'f', 'wb']",186.0664520263672,0.377354741096497,47.0762832,-88.2705844,25.948661625129784,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
161,2.0,1,"['m', 'mu']",['cy'],"['wb', 'f', 'mm']",184.1610412597656,0.399066746234894,47.0762832,-88.2703149,42.827268183075546,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
162,2.0,1,"['m', 'gp']",['cy'],"['yb', 'mm', 'f']",184.77951049804688,0.440090000629425,47.0762832,-88.2700454,53.08063404251407,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
163,1.0,1,"['m', 'ly']","['ma', 'cy']","['mm', 'f']",185.962631225586,0.489885360002518,47.0762832,-88.269776,48.65853042184622,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
