
Name,Abbreviation,Type
canada yew,cy,shrubs
moss,m,ground
mushroom,mu,ground
ground pine,gp,ground
lichen,l,ground
lycopodium,ly,ground
common ninebark,cnb,shrubs
quaking aspen,qa,trees
horseweed,hw,ground
goldenrod,gr,ground
fireweed,fw,ground
bush honeysuckle or common chokecherry,bhs,shrubs
longtube twinflower,lttf,ground
grass,g,ground
mouse-ear hawkweed,mehw,ground
common mullein,cm,ground
common winterberry,cwb,shrubs
common serviceberry,csb,trees
western service berry,wsb,shrubs
red osier dogwood,rod,shrubs
red elderberry,reb,shrubs
beaked hazelnut,bh,shrubs
black medick,bm,ground
common dandelion,cd,ground
redcurrant,rc,shrub
black bindweed,bw,ground
japanese honewort,jh,ground
selkirk’s violet,sv,ground
raspberry,r,ground
birdeye pearlwort,bepw,ground
common selfheal,csh,ground
white spruce,ws,trees
big tooth aspen,bta,trees
common st john's wort,csjw,shrubs
oxeye daisy,oed,ground
black cotton wood,bcw,trees
arbo vitrae cypress,avc,trees
bluebell bellflower,bbbf,ground
canadian service berry,csb,shrubs
,bbw,ground
,d,ground
,ml,ground
,n,ground
,nbfi,ground
,nfm,ground
,wf,ground
,wl,ground
,y,ground
,em,trees
,f,trees
,ma,trees
,mm,trees
,p,trees
,pc,trees
,re,trees
,rm,trees
,rmm,trees
,rmpc,trees
,wb,trees
,yb,trees
,asn,shrubs
,ma,shrubs
,rb,shrubs
,re,shrubs
,wf,shrubs
