id,access,surveyed,ground_50,shrubs_50,trees_50,elevation,ndvi1,lat,lon
0,,water,,,,180.500000000000000,-0.052079431712627,47.0768338,-88.2789388
1,,water,,,,180.500000000000000,-0.051407128572464,47.0768338,-88.2786693
2,,water,,,,180.500000000000000,-0.052552551031113,47.0768338,-88.2783998
3,,water,,,,180.500000000000000,-0.047619048506021,47.0768338,-88.2781303
4,,water,,,,180.500000000000000,-0.047512158751488,47.0768338,-88.2778608
5,,water,,,,180.500000000000000,-0.048652693629265,47.0768338,-88.2775913
6,,water,,,,180.500000000000000,-0.051918737590313,47.0768338,-88.2773218
7,,water,,,,180.500000000000000,-0.050632912665606,47.0768338,-88.2770523
8,,water,,,,180.500000000000000,-0.053183522075415,47.0768338,-88.2767828
9,,water,,,,180.500000000000000,-0.050094161182642,47.0768338,-88.2765133
10,,water,,,,180.500000000000000,-0.045112781226635,47.0768338,-88.2762438
11,,water,,,,180.500000000000000,-0.051437217742205,47.0768338,-88.2759743
12,,water,,,,180.500000000000000,-0.051523130387068,47.0768338,-88.2757048
13,,water,,,,180.500000000000000,-0.043674699962139,47.0768338,-88.2754353
14,,water,,,,180.500000000000000,-0.047870334237814,47.0768338,-88.2751658
15,,water,,,,180.500000000000000,-0.046834021806717,47.0768338,-88.2748963
16,,water,,,,180.500000000000000,-0.044552601873875,47.0768338,-88.2746269
17,,water,,,,180.500000000000000,-0.045180723071098,47.0768338,-88.2743574
18,,water,,,,180.500000000000000,-0.043151970952749,47.0768338,-88.2740879
19,,water,,,,180.500000000000000,-0.046694058924913,47.0768338,-88.2738184
20,,water,,,,180.500000000000000,-0.042529169470072,47.0768338,-88.2735489
21,,water,,,,180.500000000000000,-0.042632758617401,47.0768338,-88.2732794
22,,water,,,,180.500000000000000,-0.043931495398283,47.0768338,-88.2730099
23,,water,,,,180.500000000000000,-0.042505592107773,47.0768338,-88.2727404
24,,water,,,,180.500000000000000,-0.046659201383591,47.0768338,-88.2724709
25,,water,,,,180.500000000000000,-0.042054336518049,47.0768338,-88.2722014
26,,water,,,,180.500000000000000,-0.045640073716640,47.0768338,-88.2719319
27,,water,,,,180.500000000000000,-0.047689463943243,47.0768338,-88.2716624
28,,water,,,,180.500000000000000,-0.042647060006857,47.0768338,-88.2713929
29,,water,,,,180.500000000000000,-0.047548837959766,47.0768338,-88.2711234
30,,water,,,,180.500000000000000,-0.049012437462807,47.0768338,-88.2708539
31,,water,,,,180.500000000000000,-0.051680520176888,47.0768338,-88.2705844
32,,water,,,,180.500000000000000,-0.054662380367517,47.0768338,-88.2703149
33,,water,,,,180.500000000000000,-0.056991148740053,47.0768338,-88.2700454
34,,water,,,,180.500000000000000,-0.057365439832211,47.0768338,-88.2697760
35,,water,,,,180.500000000000000,-0.051952704787254,47.0768338,-88.2695065
36,,water,,,,180.500000000000000,-0.057421453297138,47.0768338,-88.2692370
37,,water,,,,180.500000000000000,-0.053701017051935,47.0768338,-88.2689675
38,,water,,,,180.500000000000000,-0.055555555969477,47.0768338,-88.2686980
39,,water,,,,180.500000000000000,-0.054678898304701,47.0768338,-88.2684285
40,,water,,,,180.500000000000000,-0.049870707094669,47.0768338,-88.2681590
41,,water,,,,180.500000000000000,-0.043606799095869,47.0768338,-88.2678895
42,,water,,,,180.500000000000000,-0.043866172432899,47.0768338,-88.2676200
43,,water,,,,180.500000000000000,-0.050037343055010,47.0766502,-88.2789388
44,,water,,,,180.500000000000000,-0.049475263804197,47.0766502,-88.2786693
45,,water,,,,180.500000000000000,-0.050338093191385,47.0766502,-88.2783998
46,,water,,,,180.500000000000000,-0.046694058924913,47.0766502,-88.2781303
47,,water,,,,180.500000000000000,-0.051138482987881,47.0766502,-88.2778608
48,,water,,,,180.500000000000000,-0.047512158751488,47.0766502,-88.2775913
49,,water,,,,180.500000000000000,-0.048652693629265,47.0766502,-88.2773218
50,,water,,,,180.500000000000000,-0.048478014767170,47.0766502,-88.2770523
51,,water,,,,180.500000000000000,-0.051012754440308,47.0766502,-88.2767828
52,,water,,,,180.500000000000000,-0.053504142910242,47.0766502,-88.2765133
53,,water,,,,180.500000000000000,-0.043314501643181,47.0766502,-88.2762438
54,,water,,,,180.500000000000000,-0.047868363559246,47.0766502,-88.2759743
55,,water,,,,180.500000000000000,-0.052118483930826,47.0766502,-88.2757048
56,,water,,,,180.500000000000000,-0.046651616692543,47.0766502,-88.2754353
57,,water,,,,180.500000000000000,-0.044519267976284,47.0766502,-88.2751658
58,,water,,,,180.500000000000000,-0.043055035173893,47.0766502,-88.2748963
59,,water,,,,180.500000000000000,-0.048152294009924,47.0766502,-88.2746269
60,,water,,,,180.500000000000000,-0.043087299913168,47.0766502,-88.2743574
61,,water,,,,180.500000000000000,-0.042211432009935,47.0766502,-88.2740879
62,,water,,,,180.500000000000000,-0.048084147274494,47.0766502,-88.2738184
63,,water,,,,180.500000000000000,-0.040475305169821,47.0766502,-88.2735489
64,,water,,,,180.500000000000000,-0.041217971593142,47.0766502,-88.2732794
65,,water,,,,180.500000000000000,-0.041666667908430,47.0766502,-88.2730099
66,,water,,,,180.500000000000000,-0.040740739554167,47.0766502,-88.2727404
67,,water,,,,180.500000000000000,-0.041340783238411,47.0766502,-88.2724709
68,,water,,,,180.500000000000000,-0.044313147664070,47.0766502,-88.2722014
69,,water,,,,180.500000000000000,-0.042608372867107,47.0766502,-88.2719319
70,,water,,,,180.500000000000000,-0.038874492049217,47.0766502,-88.2716624
71,,water,,,,180.500000000000000,-0.042428676038980,47.0766502,-88.2713929
72,,water,,,,180.500000000000000,-0.052555274218321,47.0766502,-88.2711234
73,,water,,,,180.500000000000000,-0.048981051892042,47.0766502,-88.2708539
74,,water,,,,180.500000000000000,-0.059936907142401,47.0766502,-88.2705844
75,,water,,,,180.500000000000000,-0.045671436935663,47.0766502,-88.2703149
76,,water,,,,180.500000000000000,-0.017824215814471,47.0766502,-88.2700454
77,,water,,,,180.500000000000000,-0.045906901359558,47.0766502,-88.2697760
78,,water,,,,180.500000000000000,-0.062435321509838,47.0766502,-88.2695065
79,,water,,,,180.500000000000000,-0.054405055940151,47.0766502,-88.2692370
80,,water,,,,180.500000000000000,-0.057479470968246,47.0766502,-88.2689675
81,,water,,,,180.500000000000000,-0.060882244259119,47.0766502,-88.2686980
82,,water,,,,180.500000000000000,-0.052708636969328,47.0766502,-88.2684285
83,,water,,,,180.500000000000000,-0.047374218702316,47.0766502,-88.2681590
84,,water,,,,180.500000000000000,-0.042639970779419,47.0766502,-88.2678895
85,,water,,,,180.500000000000000,-0.047019623219967,47.0766502,-88.2676200
86,,water,,,,180.500000000000000,-0.054559044539928,47.0764667,-88.2789388
87,,water,,,,180.500000000000000,-0.051214952021837,47.0764667,-88.2786693
88,,water,,,,180.500000000000000,-0.050391938537359,47.0764667,-88.2783998
89,,water,,,,180.500000000000000,-0.051569506525993,47.0764667,-88.2781303
90,,water,,,,180.500000000000000,-0.050413843244314,47.0764667,-88.2778608
91,,water,,,,180.500000000000000,-0.049549549818039,47.0764667,-88.2775913
92,,water,,,,180.500000000000000,-0.043575417250395,47.0764667,-88.2773218
93,,water,,,,180.500000000000000,-0.049831397831440,47.0764667,-88.2770523
94,,water,,,,180.500000000000000,-0.050618670880795,47.0764667,-88.2767828
95,,water,,,,180.500000000000000,-0.050224889069796,47.0764667,-88.2765133
96,,water,,,,180.500000000000000,-0.049943674355745,47.0764667,-88.2762438
97,,water,,,,180.500000000000000,-0.048152294009924,47.0764667,-88.2759743
98,,water,,,,180.500000000000000,-0.046188510954380,47.0764667,-88.2757048
99,,water,,,,180.500000000000000,-0.045692883431911,47.0764667,-88.2754353
100,,water,,,,180.500000000000000,-0.042728636413813,47.0764667,-88.2751658
101,,water,,,,180.500000000000000,-0.046651616692543,47.0764667,-88.2748963
102,,water,,,,180.500000000000000,-0.044419560581446,47.0764667,-88.2746269
103,,water,,,,180.500000000000000,-0.045946955680847,47.0764667,-88.2743574
104,,water,,,,180.500000000000000,-0.045267488807440,47.0764667,-88.2740879
105,,water,,,,180.500000000000000,-0.052592314779758,47.0764667,-88.2738184
106,,water,,,,180.500000000000000,-0.043251305818558,47.0764667,-88.2735489
107,,water,,,,180.500000000000000,-0.039375927299261,47.0764667,-88.2732794
108,,water,,,,180.500000000000000,-0.042994812130928,47.0764667,-88.2730099
109,,water,,,,180.500000000000000,-0.042766828089952,47.0764667,-88.2727404
110,,water,,,,180.500000000000000,-0.039556376636028,47.0764667,-88.2724709
111,,water,,,,180.500000000000000,-0.037974681705236,47.0764667,-88.2722014
112,,water,,,,180.500000000000000,-0.035912625491619,47.0764667,-88.2719319
113,,water,,,,180.500000000000000,-0.044918999075890,47.0764667,-88.2716624
114,,water,,,,180.500000000000000,-0.043572984635830,47.0764667,-88.2713929
115,,water,,,,180.500000000000000,-0.048771806061268,47.0764667,-88.2711234
116,,water,,,,183.433166503906250,-0.049983225762844,47.0764667,-88.2708539
117,s,y,,r ma,wb pc re f,186.066452026367188,0.115394502878189,47.0764667,-88.2705844
118,s,y,m l,ma,wb mm f,184.161041259765625,0.353209108114243,47.0764667,-88.2703149
119,m,y,m l,cy ma,mm wb f,184.779510498046875,0.395565927028656,47.0764667,-88.2700454
120,s,y,m l,,mm,185.962631225585966,0.381463050842285,47.0764667,-88.2697760
121,s,y,m,,mm qa,185.604690551757812,0.216843053698540,47.0764667,-88.2695065
122,,water,,,,180.500000000000000,-0.022876841947436,47.0764667,-88.2692370
123,,water,,,,180.500000000000000,-0.063874348998070,47.0764667,-88.2689675
124,,water,,,,180.500000000000000,-0.051687005907297,47.0764667,-88.2686980
125,,water,,,,180.500000000000000,-0.049108766019344,47.0764667,-88.2684285
126,,water,,,,180.500000000000000,-0.050971765071154,47.0764667,-88.2681590
127,,water,,,,180.500000000000000,-0.050295859575272,47.0764667,-88.2678895
128,,water,,,,180.500000000000000,-0.042962964624166,47.0764667,-88.2676200
129,,water,,,,180.500000000000000,-0.049962714314461,47.0762832,-88.2789388
130,,water,,,,180.500000000000000,-0.048753257840872,47.0762832,-88.2786693
131,,water,,,,180.500000000000000,-0.043575417250395,47.0762832,-88.2783998
132,,water,,,,180.500000000000000,-0.048080507665873,47.0762832,-88.2781303
133,,water,,,,180.500000000000000,-0.049571376293898,47.0762832,-88.2778608
134,,water,,,,180.500000000000000,-0.051253274083138,47.0762832,-88.2775913
135,,water,,,,180.500000000000000,-0.046372476965189,47.0762832,-88.2773218
136,,water,,,,180.500000000000000,-0.047511313110590,47.0762832,-88.2770523
137,,water,,,,180.500000000000000,-0.048798799514771,47.0762832,-88.2767828
138,,water,,,,180.500000000000000,-0.044709388166666,47.0762832,-88.2765133
139,,water,,,,180.500000000000000,-0.050936330109835,47.0762832,-88.2762438
140,,water,,,,180.500000000000000,-0.045981306582689,47.0762832,-88.2759743
141,,water,,,,180.500000000000000,-0.044221479445696,47.0762832,-88.2757048
142,,water,,,,180.500000000000000,-0.044419560581446,47.0762832,-88.2754353
